,DX COOLING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,7746.009,6202.143,279.522230,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,7818.02,5961.97,279.522230,73.02,62.11,0.00952960,53.60,52.09,0.00800000,69.44,0.01270967,65.53,16.0971,72.30,0.00891949,52.3188,5814.22,0.00,7744.68,6161.57
,MAIN DX HEATING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,Coil:Heating:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,7746.009,7746.009,279.522230,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,7746.01,7746.01,279.522230,55.75,50.01,0.00640786,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,16.0971,71.60,0.00760206,45.7657,5024.66,0.00,7756.19,7756.19
,SUPP HEATING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,9696.320,9696.320,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,9696.32,9696.32,279.522230,55.75,50.01,0.00640786,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,16.0971,71.60,0.00760206,45.7657,5024.66,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,10043.234,8041.168,376.730996,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,9901.12,8457.47,376.730996,73.51,61.26,0.00885702,53.60,52.09,0.00800000,77.70,0.01271761,68.16,11.9435,71.60,0.00833338,50.1065,7371.42,0.00,10041.51,7987.57
,MAIN DX HEATING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,Coil:Heating:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,10043.234,10043.234,376.730996,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,10043.23,10043.23,376.730996,59.84,52.26,0.00666560,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,11.9435,71.60,0.00754482,45.4283,8124.41,0.00,10056.43,10056.43
,SUPP HEATING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,12750.821,12750.821,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,12750.82,12750.82,376.730996,59.84,52.26,0.00666560,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,11.9435,71.60,0.00754482,45.4283,8124.41,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT1_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,11375.847,9108.132,426.718519,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,11047.32,9565.86,426.718519,73.99,61.33,0.00879393,53.60,52.09,0.00800000,83.06,0.01272282,69.78,10.5444,71.60,0.00833082,50.0919,8349.34,0.00,11373.90,9047.42
,MAIN DX HEATING COIL_UNIT1_BACKROW_MIDDLEFLOOR,Coil:Heating:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,11375.847,11375.847,426.718519,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,11375.85,11375.85,426.718519,61.21,53.03,0.00676863,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,10.5444,71.60,0.00754486,45.4285,8125.19,0.00,11390.80,11390.80
,SUPP HEATING COIL_UNIT1_BACKROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,12751.586,12751.586,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,12751.59,12751.59,426.718519,61.21,53.03,0.00676863,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,10.5444,71.60,0.00754486,45.4285,8125.19,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT2_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,7645.104,6116.260,273.021690,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,7724.53,5825.69,273.021690,73.01,62.22,0.00960060,53.60,52.09,0.00800000,69.44,0.01270967,65.53,16.4804,72.30,0.00898711,52.7117,5682.42,0.00,7643.79,6076.21
,MAIN DX HEATING COIL_UNIT2_BACKROW_MIDDLEFLOOR,Coil:Heating:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,7645.104,7645.104,273.021690,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,7645.10,7645.10,273.021690,55.37,49.79,0.00637939,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,16.4804,71.60,0.00760201,45.7654,5023.88,0.00,7655.15,7655.15
,SUPP HEATING COIL_UNIT2_BACKROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,9695.547,9695.547,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,9695.55,9695.55,273.021690,55.37,49.79,0.00637939,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,16.4804,71.60,0.00760201,45.7654,5023.88,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT3_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,9373.059,7504.589,351.592096,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,9321.66,7775.29,351.592096,73.08,61.29,0.00897948,53.60,52.09,0.00800000,73.90,0.01271395,66.97,12.7975,71.60,0.00834625,50.1828,6752.10,0.00,9371.45,7454.57
,MAIN DX HEATING COIL_UNIT3_BACKROW_MIDDLEFLOOR,Coil:Heating:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,9373.059,9373.059,351.592096,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,9373.06,9373.06,351.592096,59.00,51.79,0.00660260,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,12.7975,71.60,0.00754466,45.4273,8121.23,0.00,9385.38,9385.38
,SUPP HEATING COIL_UNIT3_BACKROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,12747.688,12747.688,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,12747.69,12747.69,351.592096,59.00,51.79,0.00660260,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,12.7975,71.60,0.00754466,45.4273,8121.23,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT1_FRONTROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,12708.522,10175.145,476.708406,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,12335.69,10663.99,476.708406,73.86,61.29,0.00879923,53.60,52.09,0.00800000,83.06,0.01272282,69.78,9.4387,71.60,0.00839030,50.4455,9327.27,0.00,12706.34,10107.32
,MAIN DX HEATING COIL_UNIT1_FRONTROW_TOPFLOOR,Coil:Heating:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,12708.522,12708.522,476.708406,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,12708.52,12708.52,476.708406,62.29,52.86,0.00642932,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,9.4387,71.59,0.00708029,42.6748,11727.68,0.00,12725.22,12725.22
,SUPP HEATING COIL_UNIT1_FRONTROW_TOPFLOOR,Coil:Heating:Electric,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,16301.201,16301.201,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,16301.20,16301.20,476.708406,62.29,52.86,0.00642932,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,9.4387,71.59,0.00708029,42.6748,11727.68,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT2_FRONTROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,8426.739,6748.218,300.752270,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,8514.93,6430.74,300.752270,73.06,62.22,0.00959484,53.60,52.09,0.00800000,69.44,0.01270967,65.53,14.9608,72.31,0.00904685,53.0520,6244.30,0.00,8425.29,6703.69
,MAIN DX HEATING COIL_UNIT2_FRONTROW_TOPFLOOR,Coil:Heating:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,8426.739,8426.739,300.752270,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,8426.74,8426.74,300.752270,56.86,49.60,0.00594153,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,14.9608,71.59,0.00695455,41.9234,8598.84,0.00,8437.81,8437.81
,SUPP HEATING COIL_UNIT2_FRONTROW_TOPFLOOR,Coil:Heating:Electric,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,13218.006,13218.006,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,13218.01,13218.01,300.752270,56.86,49.60,0.00594153,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,14.9608,71.59,0.00695455,41.9234,8598.84,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT3_FRONTROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,10101.111,8087.507,378.901991,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,9973.94,8394.29,378.901991,73.51,61.39,0.00894461,53.60,52.09,0.00800000,77.70,0.01271761,68.16,11.8751,71.60,0.00843619,50.7168,7413.79,0.00,10099.38,8033.60
,MAIN DX HEATING COIL_UNIT3_FRONTROW_TOPFLOOR,Coil:Heating:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,10101.111,10101.111,378.901991,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,10101.11,10101.11,378.901991,59.90,51.53,0.00626105,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,11.8751,71.59,0.00708004,42.6733,11723.90,0.00,10114.38,10114.38
,SUPP HEATING COIL_UNIT3_FRONTROW_TOPFLOOR,Coil:Heating:Electric,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,16297.482,16297.482,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,16297.48,16297.48,378.901991,59.90,51.53,0.00626105,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,11.8751,71.59,0.00708004,42.6733,11723.90,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT1_BACKROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,12082.681,9674.062,453.232543,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,11741.48,10077.91,453.232543,73.92,61.38,0.00884363,53.60,52.09,0.00800000,83.06,0.01272282,69.78,9.9276,71.60,0.00841608,50.5985,8867.91,0.00,12080.61,9609.58
,MAIN DX HEATING COIL_UNIT1_BACKROW_TOPFLOOR,Coil:Heating:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,12082.681,12082.681,453.232543,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,12082.68,12082.68,453.232543,61.81,52.59,0.00639556,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,9.9276,71.59,0.00708025,42.6746,11727.10,0.00,12098.56,12098.56
,SUPP HEATING COIL_UNIT1_BACKROW_TOPFLOOR,Coil:Heating:Electric,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,16300.630,16300.630,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,16300.63,16300.63,453.232543,61.81,52.59,0.00639556,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,9.9276,71.59,0.00708025,42.6746,11727.10,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT2_BACKROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,8412.369,6734.880,299.194412,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,8503.51,6398.70,299.194412,73.05,62.26,0.00961849,53.60,52.09,0.00800000,69.44,0.01270967,65.53,15.0387,72.31,0.00907133,53.1941,6212.69,0.00,8410.93,6690.36
,MAIN DX HEATING COIL_UNIT2_BACKROW_TOPFLOOR,Coil:Heating:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,8412.369,8412.369,299.194412,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,8412.37,8412.37,299.194412,56.78,49.55,0.00593606,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,15.0387,71.59,0.00695432,41.9220,8596.54,0.00,8423.42,8423.42
,SUPP HEATING COIL_UNIT2_BACKROW_TOPFLOOR,Coil:Heating:Electric,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,13215.737,13215.737,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,13215.74,13215.74,299.194412,56.78,49.55,0.00593606,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,15.0387,71.59,0.00695432,41.9220,8596.54,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT3_BACKROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,9451.509,7567.401,354.534848,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,9414.81,7729.91,354.534848,73.07,61.43,0.00907335,53.60,52.09,0.00800000,73.90,0.01271395,66.97,12.6913,71.60,0.00845282,50.8154,6841.72,0.00,9449.89,7516.96
,MAIN DX HEATING COIL_UNIT3_BACKROW_TOPFLOOR,Coil:Heating:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,9451.509,9451.509,354.534848,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,9451.51,9451.51,354.534848,59.09,51.08,0.00620453,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,12.6913,71.59,0.00707977,42.6717,11719.86,0.00,9463.93,9463.93
,SUPP HEATING COIL_UNIT3_BACKROW_TOPFLOOR,Coil:Heating:Electric,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,16293.494,16293.494,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,16293.49,16293.49,354.534848,59.09,51.08,0.00620453,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,12.6913,71.59,0.00707977,42.6717,11719.86,0.00,-999.0,-999.0
,DX COOLING COIL_UNITHEATEDBSMT,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNITHEATEDBSMT,62861.690,50330.543,2358.000065,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 15:00:00,59439.37,57046.93,2358.000065,73.43,60.22,0.00820983,53.60,52.09,0.00800000,86.18,0.01272586,70.70,1.9082,71.60,0.00800000,48.1264,19826.14,0.00,62850.91,49995.06
,MAIN DX HEATING COIL_UNITHEATEDBSMT,Coil:Heating:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNITHEATEDBSMT,62861.690,62861.690,2358.000065,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 05:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 05:00:00,62861.69,62861.69,2358.000065,69.72,58.27,0.00785084,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,1.9082,71.60,0.00800000,48.1264,129168.62,0.00,62944.30,62944.30
,SUPP HEATING COIL_UNITHEATEDBSMT,Coil:Heating:Electric,AirLoopHVAC,CENTRAL SYSTEM_UNITHEATEDBSMT,132032.146,132032.146,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 05:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 05:00:00,132032.15,132032.15,2358.000065,69.72,58.27,0.00785084,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,1.9082,71.60,0.00800000,48.1264,129168.62,0.00,-999.0,-999.0
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT1_FRONTROW_BOTTOMFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,unknown,unknown,3965.512,3890.167,400.423678,-999.,-999.00,unknown,unknown,unknown,unknown,3319.56,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.,-999.0,-999.000,-999.0,-999.,-999.000,-999.0,0.00,-999.0,-999.0
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT2_FRONTROW_BOTTOMFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,unknown,unknown,3967.887,3892.497,400.423678,-999.,-999.00,unknown,unknown,unknown,unknown,3319.56,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.,-999.0,-999.000,-999.0,-999.,-999.000,-999.0,0.00,-999.0,-999.0
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT3_FRONTROW_BOTTOMFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,unknown,unknown,3959.447,3884.217,400.423678,-999.,-999.00,unknown,unknown,unknown,unknown,3319.56,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.,-999.0,-999.000,-999.0,-999.,-999.000,-999.0,0.00,-999.0,-999.0
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT1_BACKROW_BOTTOMFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,unknown,unknown,3963.965,3888.649,400.423678,-999.,-999.00,unknown,unknown,unknown,unknown,3319.56,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.,-999.0,-999.000,-999.0,-999.,-999.000,-999.0,0.00,-999.0,-999.0
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT2_BACKROW_BOTTOMFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,unknown,unknown,3967.621,3892.236,400.423678,-999.,-999.00,unknown,unknown,unknown,unknown,3319.56,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.,-999.0,-999.000,-999.0,-999.,-999.000,-999.0,0.00,-999.0,-999.0
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT3_BACKROW_BOTTOMFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,unknown,unknown,3958.032,3882.830,400.423678,-999.,-999.00,unknown,unknown,unknown,unknown,3319.56,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.,-999.0,-999.000,-999.0,-999.,-999.000,-999.0,0.00,-999.0,-999.0
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT1_FRONTROW_MIDDLEFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,unknown,unknown,4037.109,3960.404,400.423678,-999.,-999.00,unknown,unknown,unknown,unknown,3319.56,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.,-999.0,-999.000,-999.0,-999.,-999.000,-999.0,0.00,-999.0,-999.0
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT2_FRONTROW_MIDDLEFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,unknown,unknown,4049.430,3972.491,400.423678,-999.,-999.00,unknown,unknown,unknown,unknown,3319.56,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.,-999.0,-999.000,-999.0,-999.,-999.000,-999.0,0.00,-999.0,-999.0
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT3_FRONTROW_MIDDLEFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,unknown,unknown,4034.791,3958.130,400.423678,-999.,-999.00,unknown,unknown,unknown,unknown,3319.56,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.,-999.0,-999.000,-999.0,-999.,-999.000,-999.0,0.00,-999.0,-999.0
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT1_BACKROW_MIDDLEFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,unknown,unknown,4037.037,3960.334,400.423678,-999.,-999.00,unknown,unknown,unknown,unknown,3319.56,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.,-999.0,-999.000,-999.0,-999.,-999.000,-999.0,0.00,-999.0,-999.0
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT2_BACKROW_MIDDLEFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,unknown,unknown,4049.689,3972.745,400.423678,-999.,-999.00,unknown,unknown,unknown,unknown,3319.56,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.,-999.0,-999.000,-999.0,-999.,-999.000,-999.0,0.00,-999.0,-999.0
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT3_BACKROW_MIDDLEFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,unknown,unknown,4034.317,3957.665,400.423678,-999.,-999.00,unknown,unknown,unknown,unknown,3319.56,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.,-999.0,-999.000,-999.0,-999.,-999.000,-999.0,0.00,-999.0,-999.0
