,MAIN DX HEATING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,Coil:Heating:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,unknown,No,7789.781,7789.781,282.209007,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_MIDDLEFLOOR,Fan:OnOff,282.209007,0.34984001,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,7789.78,7789.78,1.0000,0.34984001,282.209007,55.90,50.20,0.00647430,7.1,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,7789.78,-26.9,0.00018338,-26.9,44.99498340,15.9439,71.60,0.00766757,71.60,0.00766757,46.1552,6208.32,0.00,7800.02,7800.02,0.34365823,70.00,60.00,0.00875166,10.4,95.85,68.67,0.00875166,13.9
,SUPP HEATING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,10862.733,10862.733,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_MIDDLEFLOOR,Fan:OnOff,282.209007,0.34984001,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,10862.73,10862.73,1.0000,0.34984001,282.209007,55.90,50.20,0.00647430,7.1,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,10862.73,-26.9,0.00018338,-26.9,44.99498340,15.9439,71.60,0.00766757,71.60,0.00766757,46.1552,6208.32,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,9932.554,7952.552,372.579288,-999.,-999.00,-999.0000,1.03756,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_MIDDLEFLOOR,Fan:OnOff,372.579288,0.46186741,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 11:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,Sensible,9794.07,8352.78,0.9861,0.46186741,372.579288,73.52,61.27,0.00886664,10.9,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,479.503,9314.56,77.70,0.01271761,68.16,44.99498340,12.0766,71.60,0.00833770,71.60,0.00832228,50.0407,7130.84,0.00,9930.85,7899.54,0.44362714,80.00,67.00,0.01118466,13.2,59.77,58.27,0.01002468,9.8
,MAIN DX HEATING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,Coil:Heating:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,unknown,No,9932.554,9932.554,372.579288,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_MIDDLEFLOOR,Fan:OnOff,372.579288,0.46186741,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,9932.55,9932.55,1.0000,0.46186741,372.579288,59.71,52.27,0.00670189,7.7,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,9932.55,-26.9,0.00018338,-26.9,44.99498340,12.0766,71.60,0.00759723,71.60,0.00759723,45.7399,9288.40,0.00,9945.61,9945.61,0.45370607,70.00,60.00,0.00875166,10.4,94.97,68.39,0.00875166,13.8
,SUPP HEATING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,13897.863,13897.863,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_MIDDLEFLOOR,Fan:OnOff,372.579288,0.46186741,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,13897.86,13897.86,1.0000,0.46186741,372.579288,59.71,52.27,0.00670189,7.7,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,13897.86,-26.9,0.00018338,-26.9,44.99498340,12.0766,71.60,0.00759723,71.60,0.00759723,45.7399,9288.40,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT1_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,11616.068,9300.466,435.729441,-999.,-999.00,-999.0000,1.01966,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_MIDDLEFLOOR,Fan:OnOff,435.729441,0.54015141,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,11276.21,9785.73,0.9707,0.54015141,435.729441,73.96,61.30,0.00877998,10.9,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,560.776,10715.44,83.06,0.01272282,69.78,44.99498340,10.3264,71.60,0.00832595,71.60,0.00832595,50.0630,8525.65,0.00,11614.08,9238.47,0.51881951,80.00,67.00,0.01118466,13.2,59.77,58.27,0.01002468,9.8
,MAIN DX HEATING COIL_UNIT1_BACKROW_MIDDLEFLOOR,Coil:Heating:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,unknown,No,11616.068,11616.068,435.729441,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_MIDDLEFLOOR,Fan:OnOff,435.729441,0.54015141,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,11616.07,11616.07,1.0000,0.54015141,435.729441,61.43,53.23,0.00683168,8.1,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,11616.07,-26.9,0.00018338,-26.9,44.99498340,10.3264,71.60,0.00759727,71.60,0.00759727,45.7401,9289.25,0.00,11631.33,11631.33,0.53060677,70.00,60.00,0.00875166,10.4,94.97,68.39,0.00875166,13.8
,SUPP HEATING COIL_UNIT1_BACKROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,13898.694,13898.694,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_MIDDLEFLOOR,Fan:OnOff,435.729441,0.54015141,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,13898.69,13898.69,1.0000,0.54015141,435.729441,61.43,53.23,0.00683168,8.1,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,13898.69,-26.9,0.00018338,-26.9,44.99498340,10.3264,71.60,0.00759727,71.60,0.00759727,45.7401,9289.25,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT2_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,7690.879,6158.219,275.985672,-999.,-999.00,-999.0000,1.00000,1.00000,0.2442,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_MIDDLEFLOOR,Fan:OnOff,275.985672,0.34212527,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,Sensible,7766.88,5887.82,1.0099,0.34212527,275.985672,73.02,62.17,0.00956760,11.3,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,355.188,7411.69,69.44,0.01270967,65.53,44.99498340,16.3034,72.30,0.00895555,72.30,0.00895555,52.5284,5742.51,0.00,7689.56,6117.79,0.32861390,80.00,67.00,0.01118466,13.2,58.84,57.84,0.00997296,9.6
,MAIN DX HEATING COIL_UNIT2_BACKROW_MIDDLEFLOOR,Coil:Heating:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,unknown,No,7690.879,7690.879,275.985672,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_MIDDLEFLOOR,Fan:OnOff,275.985672,0.34212527,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,7690.88,7690.88,1.0000,0.34212527,275.985672,55.55,50.00,0.00644737,7.0,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,7690.88,-26.9,0.00018338,-26.9,44.99498340,16.3034,71.60,0.00766754,71.60,0.00766754,46.1550,6207.52,0.00,7700.99,7700.99,0.33607981,70.00,60.00,0.00875166,10.4,96.10,68.74,0.00875166,13.9
,SUPP HEATING COIL_UNIT2_BACKROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,10861.952,10861.952,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_MIDDLEFLOOR,Fan:OnOff,275.985672,0.34212527,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,10861.95,10861.95,1.0000,0.34212527,275.985672,55.55,50.00,0.00644737,7.0,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,10861.95,-26.9,0.00018338,-26.9,44.99498340,16.3034,71.60,0.00766754,71.60,0.00766754,46.1550,6207.52,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT3_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,9221.862,7383.533,345.920575,-999.,-999.00,-999.0000,1.03977,1.00000,0.2440,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_MIDDLEFLOOR,Fan:OnOff,345.920575,0.42881997,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,Sensible,9174.24,7630.00,0.9948,0.42881997,345.920575,73.08,61.32,0.00899697,10.9,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,445.193,8729.05,73.90,0.01271395,66.97,44.99498340,13.0073,71.60,0.00844120,71.60,0.00835074,50.2095,6673.89,0.00,9220.28,7334.32,0.41188483,80.00,67.00,0.01118466,13.2,59.77,58.27,0.01002468,9.8
,MAIN DX HEATING COIL_UNIT3_BACKROW_MIDDLEFLOOR,Coil:Heating:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,unknown,No,9221.862,9221.862,345.920575,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_MIDDLEFLOOR,Fan:OnOff,345.920575,0.42881997,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,9221.86,9221.86,1.0000,0.42881997,345.920575,58.79,51.75,0.00663278,7.6,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,9221.86,-26.9,0.00018338,-26.9,44.99498340,13.0073,71.60,0.00759711,71.60,0.00759711,45.7391,9285.22,0.00,9233.98,9233.98,0.42124259,70.00,60.00,0.00875166,10.4,94.97,68.39,0.00875166,13.8
,SUPP HEATING COIL_UNIT3_BACKROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,13894.732,13894.732,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_MIDDLEFLOOR,Fan:OnOff,345.920575,0.42881997,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,13894.73,13894.73,1.0000,0.42881997,345.920575,58.79,51.75,0.00663278,7.6,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,13894.73,-26.9,0.00018338,-26.9,44.99498340,13.0073,71.60,0.00759711,71.60,0.00759711,45.7391,9285.22,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT1_FRONTROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,LIVING_UNIT1_FRONTROW_TOPFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,12719.133,10183.641,477.106428,-999.,-999.00,-999.0000,1.02020,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_TOPFLOOR,Fan:OnOff,477.106428,0.59144434,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,12345.82,10673.56,0.9706,0.59144434,477.106428,73.86,61.29,0.00879876,10.9,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,614.027,11731.79,83.06,0.01272282,69.78,44.99498340,9.4308,71.60,0.00839015,71.60,0.00839015,50.4446,9335.05,0.00,12716.95,10115.76,0.56808676,80.00,67.00,0.01118466,13.2,59.77,58.27,0.01002468,9.8
,MAIN DX HEATING COIL_UNIT1_FRONTROW_TOPFLOOR,Coil:Heating:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,LIVING_UNIT1_FRONTROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,unknown,No,12719.133,12719.133,477.106428,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_TOPFLOOR,Fan:OnOff,477.106428,0.59144434,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,12719.13,12719.13,1.0000,0.59144434,477.106428,62.30,52.88,0.00643748,7.9,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,12719.13,-26.9,0.00018338,-26.9,44.99498340,9.4308,71.59,0.00708871,71.59,0.00708871,42.7249,11853.53,0.00,12735.85,12735.85,0.58099333,70.00,60.00,0.00875166,10.4,94.97,68.39,0.00875166,13.8
,SUPP HEATING COIL_UNIT1_FRONTROW_TOPFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,LIVING_UNIT1_FRONTROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,16425.224,16425.224,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_TOPFLOOR,Fan:OnOff,477.106428,0.59144434,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,16425.22,16425.22,1.0000,0.59144434,477.106428,62.30,52.88,0.00643748,7.9,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,16425.22,-26.9,0.00018338,-26.9,44.99498340,9.4308,71.59,0.00708871,71.59,0.00708871,42.7249,11853.53,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT2_FRONTROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,LIVING_UNIT2_FRONTROW_TOPFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,8449.673,6760.546,301.816881,-999.,-999.00,-999.0000,1.00000,1.00000,0.2443,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_TOPFLOOR,Fan:OnOff,301.816881,0.37414689,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,Sensible,8537.38,6453.50,1.0104,0.37414689,301.816881,73.06,62.22,0.00958909,11.3,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,388.433,8148.95,69.44,0.01270967,65.53,44.99498340,14.9080,72.31,0.00904237,72.31,0.00904237,53.0258,6265.89,0.00,8448.22,6716.26,0.35937092,80.00,67.00,0.01118466,13.2,58.76,57.79,0.00996374,9.6
,MAIN DX HEATING COIL_UNIT2_FRONTROW_TOPFLOOR,Coil:Heating:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,LIVING_UNIT2_FRONTROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,unknown,No,8449.673,8449.673,301.816881,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_TOPFLOOR,Fan:OnOff,301.816881,0.37414689,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,8449.67,8449.67,1.0000,0.37414689,301.816881,56.91,49.65,0.00595710,6.9,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,8449.67,-26.9,0.00018338,-26.9,44.99498340,14.9080,71.59,0.00696865,71.59,0.00696865,42.0074,8739.22,0.00,8460.78,8460.78,0.36753560,70.00,60.00,0.00875166,10.4,96.22,68.78,0.00875166,13.9
,SUPP HEATING COIL_UNIT2_FRONTROW_TOPFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,LIVING_UNIT2_FRONTROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,13356.345,13356.345,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_TOPFLOOR,Fan:OnOff,301.816881,0.37414689,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,13356.34,13356.34,1.0000,0.37414689,301.816881,56.91,49.65,0.00595710,6.9,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,13356.34,-26.9,0.00018338,-26.9,44.99498340,14.9080,71.59,0.00696865,71.59,0.00696865,42.0074,8739.22,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT3_FRONTROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,LIVING_UNIT3_FRONTROW_TOPFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,10082.156,8072.331,378.190968,-999.,-999.00,-999.0000,1.02426,1.00000,0.2440,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_TOPFLOOR,Fan:OnOff,378.190968,0.46882392,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,Sensible,9955.56,8376.67,0.9874,0.46882392,378.190968,73.51,61.39,0.00894620,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,486.725,9468.84,77.70,0.01271761,68.16,44.99498340,11.8974,71.60,0.00843691,71.60,0.00843691,50.7211,7399.88,0.00,10080.43,8018.52,0.45030892,80.00,67.00,0.01118466,13.2,59.77,58.27,0.01002468,9.8
