,HEAT PUMP WATER HEATER EVAPORATOR_UNIT1_FRONTROW_TOPFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,unknown,unknown,3949.335,3874.297,400.423678,-999.,-999.00,unknown,unknown,unknown,unknown,3319.56,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.,-999.0,-999.000,-999.0,-999.,-999.000,-999.0,0.00,-999.0,-999.0
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT2_FRONTROW_TOPFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,unknown,unknown,3959.758,3884.523,400.423678,-999.,-999.00,unknown,unknown,unknown,unknown,3319.56,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.,-999.0,-999.000,-999.0,-999.,-999.000,-999.0,0.00,-999.0,-999.0
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT3_FRONTROW_TOPFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,unknown,unknown,3948.802,3873.775,400.423678,-999.,-999.00,unknown,unknown,unknown,unknown,3319.56,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.,-999.0,-999.000,-999.0,-999.,-999.000,-999.0,0.00,-999.0,-999.0
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT1_BACKROW_TOPFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,unknown,unknown,3949.006,3873.975,400.423678,-999.,-999.00,unknown,unknown,unknown,unknown,3319.56,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.,-999.0,-999.000,-999.0,-999.,-999.000,-999.0,0.00,-999.0,-999.0
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT2_BACKROW_TOPFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,unknown,unknown,3959.882,3884.644,400.423678,-999.,-999.00,unknown,unknown,unknown,unknown,3319.56,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.,-999.0,-999.000,-999.0,-999.,-999.000,-999.0,0.00,-999.0,-999.0
,HEAT PUMP WATER HEATER EVAPORATOR_UNIT3_BACKROW_TOPFLOOR,Coil:WaterHeating:AirToWaterHeatPump:Wrapped,unknown,unknown,3948.680,3873.655,400.423678,-999.,-999.00,unknown,unknown,unknown,unknown,3319.56,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.0,-999.,-999.0,-999.000,-999.0,-999.,-999.000,-999.0,0.00,-999.0,-999.0


----------------------------------------------------------------------------------------------------
REPORT:,Coil Sizing Details
FOR:,Entire Facility
Coils

,,Coil Type,Coil Location,HVAC Type,HVAC Name,Zone Name(s),System Sizing Method Concurrence,System Sizing Method Capacity,System Sizing Method Air Flow,Autosized Coil Capacity?,Autosized Coil Airflow?,Autosized Coil Water Flow?,OA Pretreated prior to coil inlet?,Coil Final Gross Total Capacity [Btu/h],Coil Final Gross Sensible Capacity [Btu/h],Coil Final Reference Air Volume Flow Rate [ft3/min],Coil Final Reference Plant Fluid Volume Flow Rate [ft3/min],Coil U-value Times Area Value [Btu/h-F],Terminal Unit Reheat Coil Multiplier,DX Coil Capacity Increase Ratio from Too Low Flow/Capacity Ratio,DX Coil Capacity Decrease Ratio from Too High Flow/Capacity Ratio,Moist Air Heat Capacity [Btu/lbm-R],Dry Air Heat Capacity [Btu/lbm-R],Standard Air Density Adjusted for Elevation [lb/ft3],Supply Fan Name for Coil,Supply Fan Type for Coil,Supply Fan Maximum Air Volume Flow Rate [ft3/min],Supply Fan Maximum Air Mass Flow Rate [lb/s],Plant Name for Coil,Plant Fluid Specific Heat Capacity [Btu/lbm-R],Plant Fluid Density [lb/ft3],Plant Maximum Fluid Mass Flow Rate [lb/s],Plant Design Fluid Return Temperature [F],Plant Design Fluid Supply Temperature [F],Plant Design Fluid Temperature Difference [deltaF],Plant Design Capacity [Btu/h],Coil Capacity Percentage of Plant Design Capacity [%],Coil Fluid Flow Rate Percentage of Plant Design Flow Rate [%],Design Day Name at Sensible Ideal Loads Peak,Date/Time at Sensible Ideal Loads Peak,Design Day Name at Total Ideal Loads Peak,Date/Time at Total Ideal Loads Peak,Design Day Name at Air Flow Ideal Loads Peak,Date/Time at Air Flow Ideal Loads Peak,Peak Load Type to Size On,Coil Total Capacity at Ideal Loads Peak [Btu/h],Coil Sensible Capacity at Ideal Loads Peak [Btu/h],Coil Off-Rating Capacity Modifier at Ideal Loads Peak [],Coil Air Mass Flow Rate at Ideal Loads Peak [lb/s],Coil Air Volume Flow Rate at Ideal Loads Peak [ft3/min],Coil Entering Air Drybulb at Ideal Loads Peak [F],Coil Entering Air Wetbulb at Ideal Loads Peak [F],Coil Entering Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Coil Entering Air Enthalpy at Ideal Loads Peak [Btu/lbm-R],Coil Leaving Air Drybulb at Ideal Loads Peak [F],Coil Leaving Air Wetbulb at Ideal Loads Peak [F],Coil Leaving Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Coil Leaving Air Enthalpy at Ideal Loads Peak [Btu/lbm-R],Coil Plant Fluid Mass Flow Rate at Ideal Loads Peak [lb/s],Coil Entering Plant Fluid Temperature at Ideal Loads Peak [F],Coil Leaving Plant Fluid Temperature at Ideal Loads Peak [F],Coil Plant Fluid Temperature Difference at Ideal Loads Peak [deltaF],Supply Fan Air Heat Gain at Ideal Loads Peak [Btu/h],Coil and Fan Net Total Capacity at Ideal Loads Peak [Btu/h],Outdoor Air Drybulb at Ideal Loads Peak [F],Outdoor Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Outdoor Air Wetbulb at Ideal Loads Peak [F],Outdoor Air Volume Flow Rate at Ideal Loads Peak [ft3/min],Outdoor Air Flow Percentage at Ideal Loads Peak [%],System Return Air Drybulb at Ideal Loads Peak [F],System Return Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Zone Air Drybulb at Ideal Loads Peak [F],Zone Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Zone Air Relative Humidity at Ideal Loads Peak [%],Zone Sensible Heat Gain at Ideal Loads Peak [Btu/h],Zone Latent Heat Gain at Ideal Loads Peak [Btu/h],Coil Total Capacity at Rating Conditions [Btu/h],Coil Sensible Capacity at Rating Conditions [Btu/h],Coil Air Mass Flow Rate at Rating Conditions [lb/s],Coil Entering Air Drybulb at Rating Conditions [F],Coil Entering Air Wetbulb at Rating Conditions [F],Coil Entering Air Humidity Ratio at Rating Conditions [lbWater/lbDryAir],Coil Entering Air Enthalpy at Rating Conditions [Btu/lbm-R],Coil Leaving Air Drybulb at Rating Conditions [F],Coil Leaving Air Wetbulb at Rating Conditions [F],Coil Leaving Air Humidity Ratio at Rating Conditions [lbWater/lbDryAir],Coil Leaving Air Enthalpy at Rating Conditions [Btu/lbm-R]
,DX COOLING COIL_UNIT1_FRONTROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,12255.437,9812.380,459.712753,-999.,-999.00,-999.0000,1.01779,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_BOTTOMFLOOR,Fan:OnOff,459.712753,0.56988229,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,12132.74,10477.03,0.9900,0.56988229,459.712753,74.29,61.47,0.00882062,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,785.518,11347.22,83.06,0.01272282,69.78,44.99498340,9.7876,71.60,0.00839725,71.60,0.00839725,50.4867,8994.74,0.00,12260.55,9749.70,0.54737625,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN WATER HEATING COIL_UNIT1_FRONTROW_BOTTOMFLOOR,Coil:Heating:Water,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,Yes,No,29566.527,29566.527,459.712753,0.40561986,401.845,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_BOTTOMFLOOR,Fan:OnOff,459.712753,0.56988229,,1.0027,62.4216,8.10512093,159.80,179.60,19.80,579250.74,5.1043,5.206996,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,29566.53,29566.53,1.0000,0.56988229,459.712753,61.95,52.67,0.00640772,7.9,122.00,74.93,0.00800000,17.0,0.42203335,140.00,120.20,19.80,0.000,29566.53,-26.9,0.00018338,-26.9,44.99498340,9.7876,71.59,0.00708303,71.59,0.00708303,42.6911,11760.97,0.00,29722.27,29722.27,0.56988229,61.88,52.82,0.00640772,7.9,121.54,73.14,0.00640772,15.9
,DX COOLING COIL_UNIT2_FRONTROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,6890.215,5512.679,250.316529,-999.,-999.00,-999.0000,1.00000,1.00000,0.2444,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_BOTTOMFLOOR,Fan:OnOff,250.316529,0.31030455,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 14:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,Sensible,7436.38,5447.18,1.0793,0.31030455,250.316529,73.35,62.66,0.00982072,11.5,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,427.720,7008.66,69.44,0.01270967,65.53,44.99498340,17.9752,72.30,0.00918762,71.60,0.00864432,51.9519,4496.83,0.00,6893.09,5478.46,0.29804986,80.00,67.00,0.01118466,13.2,59.11,57.95,0.00998227,9.6
,MAIN WATER HEATING COIL_UNIT2_FRONTROW_BOTTOMFLOOR,Coil:Heating:Water,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,Yes,No,18259.873,18259.873,250.316529,0.25050515,237.134,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_BOTTOMFLOOR,Fan:OnOff,250.316529,0.31030455,,1.0027,62.4216,8.10512093,159.80,179.60,19.80,579250.74,3.1523,3.215768,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,18259.87,18259.87,1.0000,0.31030455,250.316529,53.89,47.89,0.00575665,6.4,122.00,74.93,0.00800000,17.0,0.26064189,140.00,120.20,19.80,0.000,18259.87,-26.9,0.00018338,-26.9,44.99498340,17.9752,71.59,0.00697800,71.59,0.00697800,42.0631,8828.01,0.00,17176.67,17176.67,0.31030455,61.88,51.60,0.00575665,7.5,125.27,73.38,0.00575665,16.0
,DX COOLING COIL_UNIT3_FRONTROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,9263.229,7416.653,347.472291,-999.,-999.00,-999.0000,1.02460,1.00000,0.2440,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_BOTTOMFLOOR,Fan:OnOff,347.472291,0.43074356,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,Sensible,9457.65,7878.72,1.0210,0.43074356,347.472291,73.96,61.67,0.00902598,11.1,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,593.731,8863.92,77.70,0.01271761,68.16,44.99498340,12.9492,71.60,0.00847683,71.60,0.00847683,50.9579,6798.81,0.00,9267.09,7369.28,0.41373244,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN WATER HEATING COIL_UNIT3_FRONTROW_BOTTOMFLOOR,Coil:Heating:Water,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,Yes,No,23506.106,23506.106,347.472291,0.32247763,313.780,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_BOTTOMFLOOR,Fan:OnOff,347.472291,0.43074356,,1.0027,62.4216,8.10512093,159.80,179.60,19.80,579250.74,4.0580,4.139688,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,23506.11,23506.11,1.0000,0.43074356,347.472291,58.84,50.94,0.00618999,7.3,122.00,74.93,0.00800000,17.0,0.33552675,140.00,120.20,19.80,0.000,23506.11,-26.9,0.00018338,-26.9,44.99498340,12.9492,71.59,0.00708350,71.59,0.00708350,42.6939,11767.97,0.00,23020.00,23020.00,0.43074356,61.88,52.41,0.00618999,7.7,123.04,73.29,0.00618999,16.0
,DX COOLING COIL_UNIT1_BACKROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,11494.499,9203.131,431.169271,-999.,-999.00,-999.0000,1.00587,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_BOTTOMFLOOR,Fan:OnOff,431.169271,0.53449840,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,11394.45,9752.55,0.9913,0.53449840,431.169271,74.36,61.59,0.00887697,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,736.746,10657.71,83.06,0.01272282,69.78,44.99498340,10.4356,71.60,0.00842887,71.60,0.00842887,50.6744,8436.22,0.00,11499.30,9144.34,0.51338976,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN WATER HEATING COIL_UNIT1_BACKROW_BOTTOMFLOOR,Coil:Heating:Water,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,Yes,No,28025.322,28025.322,431.169271,0.38447625,379.478,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_BOTTOMFLOOR,Fan:OnOff,431.169271,0.53449840,,1.0027,62.4216,8.10512093,159.80,179.60,19.80,579250.74,4.8382,4.935573,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,28025.32,28025.32,1.0000,0.53449840,431.169271,61.31,52.32,0.00636319,7.8,122.00,74.93,0.00800000,17.0,0.40003416,140.00,120.20,19.80,0.000,28025.32,-26.9,0.00018338,-26.9,44.99498340,10.4356,71.59,0.00708323,71.59,0.00708323,42.6923,11763.92,0.00,28020.78,28020.78,0.53449840,61.88,52.73,0.00636319,7.8,121.85,73.18,0.00636319,15.9
,DX COOLING COIL_UNIT2_BACKROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,6802.862,5442.409,245.021970,-999.,-999.00,-999.0000,1.00000,1.00000,0.2444,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_BOTTOMFLOOR,Fan:OnOff,245.021970,0.30374115,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,Sensible,7351.71,5333.22,1.0807,0.30374115,245.021970,73.34,62.76,0.00988602,11.5,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,418.673,6933.04,69.44,0.01270967,65.53,44.99498340,18.3637,72.30,0.00925085,72.30,0.00925085,54.2443,5114.93,0.00,6805.70,5408.53,0.29174567,80.00,67.00,0.01118466,13.2,58.93,57.87,0.00997145,9.6
,MAIN WATER HEATING COIL_UNIT2_BACKROW_BOTTOMFLOOR,Coil:Heating:Water,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,Yes,No,17974.001,17974.001,245.021970,0.24658331,232.938,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_BOTTOMFLOOR,Fan:OnOff,245.021970,0.30374115,,1.0027,62.4216,8.10512093,159.80,179.60,19.80,579250.74,3.1030,3.165423,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,17974.00,17974.00,1.0000,0.30374115,245.021970,53.51,47.66,0.00573030,6.3,122.00,74.93,0.00800000,17.0,0.25656135,140.00,120.20,19.80,0.000,17974.00,-26.9,0.00018338,-26.9,44.99498340,18.3637,71.59,0.00697805,71.59,0.00697805,42.0634,8828.49,0.00,16856.41,16856.41,0.30374115,61.88,51.55,0.00573030,7.4,125.44,73.39,0.00573030,16.0
,DX COOLING COIL_UNIT3_BACKROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,8536.699,6834.953,320.219467,-999.,-999.00,-999.0000,1.03126,1.00000,0.2441,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_BOTTOMFLOOR,Fan:OnOff,320.219467,0.39695963,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,Sensible,8901.75,7173.04,1.0428,0.39695963,320.219467,73.49,61.79,0.00920900,11.1,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,547.164,8354.58,73.90,0.01271395,66.97,44.99498340,14.0513,71.60,0.00863599,71.60,0.00850201,51.1072,6105.79,0.00,8540.26,6791.29,0.38128272,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN WATER HEATING COIL_UNIT3_BACKROW_BOTTOMFLOOR,Coil:Heating:Water,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,Yes,No,22034.590,22034.590,320.219467,0.30229007,292.336,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_BOTTOMFLOOR,Fan:OnOff,320.219467,0.39695963,,1.0027,62.4216,8.10512093,159.80,179.60,19.80,579250.74,3.8040,3.880538,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,22034.59,22034.59,1.0000,0.39695963,320.219467,57.75,50.32,0.00611384,7.1,122.00,74.93,0.00800000,17.0,0.31452230,140.00,120.20,19.80,0.000,22034.59,-26.9,0.00018338,-26.9,44.99498340,14.0513,71.59,0.00708338,71.59,0.00708338,42.6932,11766.07,0.00,21386.54,21386.54,0.39695963,61.88,52.27,0.00611384,7.7,123.54,73.34,0.00611384,16.0
,DX COOLING COIL_UNIT1_FRONTROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,12393.492,9922.914,464.891328,-999.,-999.00,-999.0000,1.03362,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_MIDDLEFLOOR,Fan:OnOff,464.891328,0.57630191,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,12249.09,10738.12,0.9883,0.57630191,464.891328,74.28,61.33,0.00873030,10.9,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,794.367,11454.72,83.06,0.01272282,69.78,44.99498340,9.6786,71.60,0.00830247,71.60,0.00830247,49.9236,9096.28,0.00,12398.66,9859.53,0.55354234,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN WATER HEATING COIL_UNIT1_FRONTROW_MIDDLEFLOOR,Coil:Heating:Water,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,Yes,No,29842.411,29842.411,464.891328,0.40940468,405.723,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_MIDDLEFLOOR,Fan:OnOff,464.891328,0.57630191,,1.0027,62.4216,8.10512093,159.80,179.60,19.80,579250.74,5.1519,5.255583,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,29842.41,29842.41,1.0000,0.57630191,464.891328,62.07,53.50,0.00683229,8.1,122.00,74.93,0.00800000,17.0,0.42597132,140.00,120.20,19.80,0.000,29842.41,-26.9,0.00018338,-26.9,44.99498340,9.6786,71.60,0.00754477,71.60,0.00754477,45.4280,8123.57,0.00,30028.96,30028.96,0.57630191,61.88,53.59,0.00683229,8.1,121.44,73.63,0.00683229,16.2
,DX COOLING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,7451.755,5966.287,279.522230,-999.,-999.00,-999.0000,1.00763,1.00000,0.2442,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_MIDDLEFLOOR,Fan:OnOff,279.522230,0.34650936,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,Sensible,7996.43,6122.86,1.0731,0.34650936,279.522230,73.41,62.25,0.00952960,11.3,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,477.624,7518.81,69.44,0.01270967,65.53,44.99498340,16.0971,72.30,0.00891949,72.30,0.00891949,52.3188,5814.22,0.00,7454.86,5928.18,0.33282485,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
