,DX COOLING COIL_UNIT1_FRONTROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,15335.184,12278.196,575.236909,-999.,-999.00,-999.0000,1.05205,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_BOTTOMFLOOR,Fan:OnOff,575.236909,0.71309166,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,15127.95,13379.97,0.9865,0.71309166,575.236909,74.07,61.17,0.00867191,10.9,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,982.916,14145.03,83.06,0.01272282,69.78,44.99498340,7.8220,71.60,0.00832816,71.60,0.00832816,50.0766,11255.13,0.00,15341.58,12199.76,0.68492993,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN FUEL HEATING COIL_UNIT1_FRONTROW_BOTTOMFLOOR,Coil:Heating:Fuel,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,31660.754,31660.754,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_BOTTOMFLOOR,Fan:OnOff,575.236909,0.71309166,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 04:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 04:00:00,Sensible,31660.75,31660.75,1.0000,0.71309166,575.236909,63.89,54.60,0.00703363,8.5,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,31660.75,-26.9,0.00018338,-26.9,44.99498340,7.8220,71.59,0.00761492,71.59,0.00761492,45.8537,27314.12,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT2_FRONTROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,12564.708,10061.550,444.551087,-999.,-999.00,-999.0000,1.00000,1.00000,0.2440,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_BOTTOMFLOOR,Fan:OnOff,444.551087,0.55108715,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 14:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 14:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 14:00:00,Sensible,12313.98,10336.89,0.9800,0.55108715,444.551087,75.07,62.06,0.00902625,11.2,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,759.611,11554.37,86.18,0.01272586,70.70,44.99498340,10.1214,71.60,0.00846984,71.60,0.00846984,50.9173,6733.92,0.00,12569.95,9997.31,0.52932338,80.00,67.00,0.01118466,13.2,58.53,57.69,0.00995340,9.5
,MAIN FUEL HEATING COIL_UNIT2_FRONTROW_BOTTOMFLOOR,Coil:Heating:Fuel,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,28746.014,28746.014,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_BOTTOMFLOOR,Fan:OnOff,444.551087,0.55108715,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 04:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 04:00:00,Sensible,28746.01,28746.01,1.0000,0.55108715,444.551087,61.63,53.41,0.00688251,8.1,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,28746.01,-26.9,0.00018338,-26.9,44.99498340,10.1214,71.59,0.00763691,71.59,0.00763691,45.9822,24356.23,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT3_FRONTROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,13545.919,10847.638,498.652268,-999.,-999.00,-999.0000,1.00000,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_BOTTOMFLOOR,Fan:OnOff,498.652268,0.61815361,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 14:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 14:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 14:00:00,Sensible,13213.42,11381.48,0.9755,0.61815361,498.652268,74.71,61.67,0.00885065,11.1,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,852.055,12361.37,86.18,0.01272586,70.70,44.99498340,9.0233,71.60,0.00839319,71.60,0.00839319,50.4625,8338.23,0.00,13551.57,10779.51,0.59374121,80.00,67.00,0.01118466,13.2,59.37,58.08,0.01000190,9.7
,MAIN FUEL HEATING COIL_UNIT3_FRONTROW_BOTTOMFLOOR,Coil:Heating:Fuel,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,31667.655,31667.655,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_BOTTOMFLOOR,Fan:OnOff,498.652268,0.61815361,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 04:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 04:00:00,Sensible,31667.65,31667.65,1.0000,0.61815361,498.652268,62.71,53.96,0.00694443,8.3,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,31667.65,-26.9,0.00018338,-26.9,44.99498340,9.0233,71.59,0.00761501,71.59,0.00761501,45.8542,27321.12,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT1_BACKROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,14584.491,11677.150,547.077746,-999.,-999.00,-999.0000,1.04439,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_BOTTOMFLOOR,Fan:OnOff,547.077746,0.67818419,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,14398.34,12666.18,0.9872,0.67818419,547.077746,74.11,61.23,0.00870474,10.9,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,934.800,13463.54,83.06,0.01272282,69.78,44.99498340,8.2246,71.60,0.00834465,71.60,0.00834465,50.1746,10704.14,0.00,14590.58,11602.56,0.65140104,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN FUEL HEATING COIL_UNIT1_BACKROW_BOTTOMFLOOR,Coil:Heating:Fuel,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,31663.640,31663.640,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_BOTTOMFLOOR,Fan:OnOff,547.077746,0.67818419,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 04:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 04:00:00,Sensible,31663.64,31663.64,1.0000,0.67818419,547.077746,63.49,54.39,0.00700374,8.4,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,31663.64,-26.9,0.00018338,-26.9,44.99498340,8.2246,71.59,0.00761496,71.59,0.00761496,45.8539,27317.05,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT2_BACKROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,12642.193,10122.066,444.556600,-999.,-999.00,-999.0000,1.00000,1.00000,0.2441,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_BOTTOMFLOOR,Fan:OnOff,444.556600,0.55109399,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,12641.40,10332.89,0.9999,0.55109399,444.556600,75.01,62.30,0.00919566,11.3,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,759.621,11881.78,83.06,0.01272282,69.78,44.99498340,10.1213,71.60,0.00851914,71.60,0.00855453,51.4200,5401.03,0.00,12647.47,10061.11,0.52932994,80.00,67.00,0.01118466,13.2,58.40,57.62,0.00994685,9.5
,MAIN FUEL HEATING COIL_UNIT2_BACKROW_BOTTOMFLOOR,Coil:Heating:Fuel,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,28746.312,28746.312,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_BOTTOMFLOOR,Fan:OnOff,444.556600,0.55109399,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 04:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 04:00:00,Sensible,28746.31,28746.31,1.0000,0.55109399,444.556600,61.63,53.41,0.00688252,8.1,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,28746.31,-26.9,0.00018338,-26.9,44.99498340,10.1213,71.59,0.00763692,71.59,0.00763692,45.9823,24356.53,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT3_BACKROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,14036.647,11231.602,498.611938,-999.,-999.00,-999.0000,1.00000,1.00000,0.2440,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_BOTTOMFLOOR,Fan:OnOff,498.611938,0.61810361,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 15:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 15:00:00,Sensible,13749.86,11578.99,0.9796,0.61810361,498.611938,75.05,62.02,0.00900502,11.2,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,851.986,12897.88,86.18,0.01272586,70.70,44.99498340,9.0240,71.60,0.00845311,71.60,0.00845311,50.8183,6815.52,0.00,14042.50,11160.64,0.59369319,80.00,67.00,0.01118466,13.2,58.64,57.73,0.00995495,9.6
,MAIN FUEL HEATING COIL_UNIT3_BACKROW_BOTTOMFLOOR,Coil:Heating:Fuel,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,31665.477,31665.477,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_BOTTOMFLOOR,Fan:OnOff,498.611938,0.61810361,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 04:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 04:00:00,Sensible,31665.48,31665.48,1.0000,0.61810361,498.611938,62.71,53.96,0.00694435,8.3,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,31665.48,-26.9,0.00018338,-26.9,44.99498340,9.0240,71.59,0.00761498,71.59,0.00761498,45.8540,27318.91,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT1_FRONTROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,13242.296,10602.514,496.730767,-999.,-999.00,-999.0000,1.04455,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_MIDDLEFLOOR,Fan:OnOff,496.730767,0.61577162,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,13073.40,11548.42,0.9872,0.61577162,496.730767,74.21,61.23,0.00868329,10.9,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,848.771,12224.63,83.06,0.01272282,69.78,44.99498340,9.0582,71.60,0.00828094,71.60,0.00828094,49.7958,9719.28,0.00,13247.82,10534.79,0.59145330,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN FUEL HEATING COIL_UNIT1_FRONTROW_MIDDLEFLOOR,Coil:Heating:Fuel,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,13619.496,13619.496,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_MIDDLEFLOOR,Fan:OnOff,496.730767,0.61577162,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,Sensible,13619.50,13619.50,1.0000,0.61577162,496.730767,62.68,53.98,0.00696371,8.3,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,13619.50,-26.9,0.00018338,-26.9,44.99498340,9.0582,71.60,0.00763906,71.60,0.00763906,45.9865,9005.85,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,8215.683,6577.930,308.177860,-999.,-999.00,-999.0000,1.03154,1.00000,0.2442,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_MIDDLEFLOOR,Fan:OnOff,308.177860,0.38203227,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,Sensible,8788.13,6909.68,1.0697,0.38203227,308.177860,73.46,62.01,0.00936176,11.2,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,526.588,8261.54,69.44,0.01270967,65.53,44.99498340,14.6003,72.31,0.00878939,72.31,0.00878939,51.5591,6395.24,0.00,8219.11,6535.91,0.36694488,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN FUEL HEATING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,Coil:Heating:Fuel,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,10590.424,10590.424,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_MIDDLEFLOOR,Fan:OnOff,308.177860,0.38203227,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,Sensible,10590.42,10590.42,1.0000,0.38203227,308.177860,57.22,51.13,0.00665949,7.4,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,10590.42,-26.9,0.00018338,-26.9,44.99498340,14.6003,71.60,0.00776668,71.60,0.00776668,46.7420,5931.91,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,10295.072,8242.803,386.177656,-999.,-999.00,-999.0000,1.05926,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_MIDDLEFLOOR,Fan:OnOff,386.177656,0.47872461,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 11:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,Sensible,10470.97,8993.08,1.0171,0.47872461,386.177656,73.88,61.36,0.00883849,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,659.868,9811.11,77.70,0.01271761,68.16,44.99498340,11.6514,71.60,0.00832692,71.60,0.00831491,49.9969,7403.36,0.00,10299.37,8190.15,0.45981861,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN FUEL HEATING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,Coil:Heating:Fuel,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,13620.238,13620.238,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_MIDDLEFLOOR,Fan:OnOff,386.177656,0.47872461,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,Sensible,13620.24,13620.24,1.0000,0.47872461,386.177656,60.13,52.58,0.00677039,7.8,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,13620.24,-26.9,0.00018338,-26.9,44.99498340,11.6514,71.60,0.00763909,71.60,0.00763909,45.9867,9006.61,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT1_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,12240.150,9800.140,459.139335,-999.,-999.00,-999.0000,1.03190,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_MIDDLEFLOOR,Fan:OnOff,459.139335,0.56917146,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,12099.71,10595.48,0.9885,0.56917146,459.139335,74.29,61.35,0.00873727,10.9,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,784.538,11315.17,83.06,0.01272282,69.78,44.99498340,9.7999,71.60,0.00830425,71.60,0.00830425,49.9342,8983.72,0.00,12245.26,9737.54,0.54669349,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN FUEL HEATING COIL_UNIT1_BACKROW_MIDDLEFLOOR,Coil:Heating:Fuel,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,13621.069,13621.069,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_MIDDLEFLOOR,Fan:OnOff,459.139335,0.56917146,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,Sensible,13621.07,13621.07,1.0000,0.56917146,459.139335,61.95,53.59,0.00690846,8.2,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,13621.07,-26.9,0.00018338,-26.9,44.99498340,9.7999,71.60,0.00763911,71.60,0.00763911,45.9868,9007.45,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT2_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,8066.047,6458.123,302.564877,-999.,-999.00,-999.0000,1.02479,1.00000,0.2442,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_MIDDLEFLOOR,Fan:OnOff,302.564877,0.37507414,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,Sensible,8635.66,6741.06,1.0706,0.37507414,302.564877,73.45,62.08,0.00940729,11.2,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,516.997,8118.66,69.44,0.01270967,65.53,44.99498340,14.8712,72.31,0.00883039,72.31,0.00883039,51.7979,6281.38,0.00,8069.41,6416.87,0.36026155,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
