
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                69.72       1.05  3.31E-006  4.748E-006 4.535E-009 6.505E-009
m1026364                 7.168     0.9956          0          0         0         0
l2879070                 7.396      1.027     0.2292      3.099     0.241     3.258
l3216345                 7.392      1.027     0.2285      3.091     0.244     3.301
m1069428                 7.298      1.014     0.2377      3.257    0.1928     2.642
n1139257                 7.272       1.01          0          0         0         0
l2991919                 7.164     0.9951          0          0         0         0
m1026361                 7.162     0.9948          0          0         0         0
n1147857                 7.233      1.005          0          0         0         0
m1009742                 7.232      1.004          0          0         0         0
q14412                   7.291      1.013    0.06905     0.9471    0.1011     1.387
m1047325                 7.289      1.012     0.0694     0.9521    0.1019     1.398
n1139263                  7.35      1.021          0          0         0         0
l3048227                  7.35      1.021          0          0         0         0
p827506                   7.35      1.021          0          0         0         0
m1069469                  7.35      1.021          0          0         0         0
m1027019                 7.307      1.015          0          0         0         0
l2785522                 7.307      1.015          0          0         0         0
l3216338                 7.248      1.007          0          0         0         0
l2973146                 7.248      1.007          0          0         0         0
m3037452                 7.154     0.9937          0          0         0         0
l2973164                 7.154     0.9937          0          0         0         0
l3120376                 7.324      1.017          0          0         0         0
m1026925                 7.322      1.017          0          0         0         0
m1047612                 7.416       1.03          0          0         0         0
p828360                  7.416       1.03          0          0         0         0
m1089195                 7.503      1.042          0          0         0         0
l3141393                 7.503      1.042          0          0         0         0
m1026946                 7.324      1.017          0          0         0         0
m1026940                 7.323      1.017          0          0         0         0
m1047471                 7.126     0.9898          0          0         0         0
l3216349                 7.126     0.9898          0          0         0         0
m1047401                 7.165     0.9951          0          0         0         0
l2748132                 7.164     0.9951          0          0         0         0
l3122820                 7.194     0.9992          0          0         0         0
l3141398                 7.194     0.9992          0          0         0         0
m1108360                 7.337      1.019          0          0         0         0
l3048968                 7.337      1.019          0          0         0         0
l2801950                 7.392      1.027          0          0         0         0
m1069224                 7.392      1.027          0          0         0         0
l2766746                 7.295      1.013          0          0         0         0
m1027073                 7.293      1.013          0          0         0         0
m1142873                 7.459      1.036          0          0         0         0
m1069181                 7.382      1.025          0          0         0         0
l2973151                  7.38      1.025          0          0         0         0
l3179682                 7.419       1.03          0          0         0         0
l2786274                 7.419       1.03          0          0         0         0
l3066816                 7.219      1.003          0          0         0         0
m1026667                 7.219      1.003          0          0         0         0
m1108529                 7.448      1.035     0.1494      2.006    0.1726     2.317
m1108532                 7.447      1.034     0.1495      2.008    0.1736     2.332
l2766723                  7.22      1.003          0          0         0         0
l3122822                  7.22      1.003          0          0         0         0
l2673312                 7.222      1.003          0          0         0         0
l3235247                 7.222      1.003          0          0         0         0
m1166391                 7.393      1.027          0          0         0         0
l3254873                 7.389      1.026          0          0         0         0
l2861157                 7.432      1.032          0          0         0         0
p901951                  7.428      1.032          0          0         0         0
m1047346                 7.309      1.015    0.06625     0.9064    0.0939     1.285
m1047345                 7.306      1.015     0.0666     0.9115   0.09503     1.301
l2989596                 7.274       1.01          0          0         0         0
l2822873                 7.274       1.01          0          0         0         0
m1108328                 7.395      1.027          0          0         0         0
l2875754                 7.395      1.027          0          0         0         0
l2786204                 7.494      1.041          0          0         0         0
m1209819                  7.49       1.04          0          0         0         0
p901972                  7.231      1.004          0          0         0         0
m1009726                 7.229      1.004          0          0         0         0
m1047702                  7.39      1.026          0          0         0         0
n1137001                  7.39      1.026          0          0         0         0
l2767340                 7.154     0.9937     0.1279      1.788    0.2397     3.351
m3037449                 7.154     0.9937     0.1279      1.788    0.2397     3.351
m1047457                 7.134      0.991          0          0         0         0
l2710546                 7.134     0.9908          0          0         0         0
l2674027                 7.072     0.9823     0.1595      2.256    0.3179     4.495
l2692633                 7.068     0.9817     0.1609      2.277    0.3214     4.548
n1142108                 7.169     0.9958          0          0         0         0
l2674051                 7.169     0.9958          0          0         0         0
m1069135                 7.326      1.018    0.06427     0.8773   0.08703     1.188
r18242                   7.323      1.017    0.06473      0.884   0.08875     1.212
m1047534                 7.481      1.039     0.2362      3.157    0.2166     2.895
n1136663                 7.465      1.037      0.235      3.148    0.2195     2.941
m1108508                   7.5      1.042          0          0         0         0
l3097861                   7.5      1.042          0          0         0         0
m1069560                  7.27       1.01          0          0         0         0
l2973153                  7.39      1.026       0.24      3.248    0.2261      3.06
n1136998                 7.389      1.026     0.2402      3.251    0.2261      3.06
l2898515                 7.486       1.04          0          0         0         0
m1166387                 7.486       1.04          0          0         0         0
m1047442                 7.165     0.9952          0          0         0         0
l3235250                 7.165     0.9951          0          0         0         0
m1142871                 7.246      1.006    0.09598      1.325    0.1576     2.174
m1142874                 7.243      1.006    0.09694      1.338      0.16     2.208
l2955081                 7.255      1.008    0.07729      1.065    0.1019     1.404
m1108315                 7.253      1.007      0.077      1.062    0.1008     1.389
l2973162                 7.219      1.003    0.09365      1.297    0.1424     1.972
m1026333                 7.218      1.003    0.09472      1.312    0.1437     1.991
m1009832                 7.256      1.008          0          0         0         0
l2860479                 7.256      1.008          0          0         0         0
m1026854                 7.369      1.024     0.2255      3.061    0.2574     3.493
p901894                  7.339      1.019          0          0         0         0
m1026485                  7.18     0.9973          0          0         0         0
m1026492                  7.18     0.9973          0          0         0         0
d6413567-3_int           7.401      1.028    0.04747     0.6414   0.04453    0.6017
e182724                  7.401      1.028    0.04748     0.6415   0.04456     0.602
n1139541                 7.402      1.028    0.04748     0.6414   0.04389    0.5929
m4122658                 7.117     0.9885     0.1426      2.004    0.2761      3.88
l2933135                 7.117     0.9885     0.1427      2.005    0.2762     3.882
l2729414                 7.302      1.014     0.1964      2.689    0.2637     3.611
l2729430                 7.293      1.013          0          0         0         0
l2766742                 7.286      1.012          0          0         0         0
m1026972                 7.169     0.9957          0          0         0         0
l2860483                 7.169     0.9957          0          0         0         0
l2860490                 7.316      1.016    0.06544     0.8945   0.09133     1.248
l3104134                 7.312      1.016     0.0659     0.9014   0.09279     1.269
m1089144                 7.031     0.9765          0          0         0         0
p827522                  7.031     0.9765          0          0         0         0
m1089118                 7.451      1.035     0.0478     0.6416   0.03469    0.4655
l3048208                 7.464      1.037          0          0         0         0
m1108505                 7.082     0.9837     0.1558      2.199    0.3083     4.353
l2955047                 7.079     0.9833     0.1569      2.216    0.3112     4.396
m1089148                 7.028     0.9761          0          0         0         0
l2766721                 7.028     0.9761          0          0         0         0
m1026745                 7.123     0.9893          0          0         0         0
l3029183                 7.123     0.9893          0          0         0         0
l2710512                  7.14     0.9917          0          0         0         0
m1047828                 7.135     0.9911          0          0         0         0
m1047342                 7.275      1.011          0          0         0         0
l3197645                 7.275      1.011          0          0         0         0
m1069192                 7.387      1.026          0          0         0         0
l3235253                 7.386      1.026          0          0         0         0
l3214071                 7.202          1     0.1108      1.539    0.1954     2.713
m1125952                 7.198     0.9998     0.1122      1.559    0.1989     2.763
m1027101                 7.136     0.9912          0          0         0         0
l2860480                 7.136     0.9912          0          0         0         0
l2710517                 7.196     0.9995          0          0         0         0
m1026646                 7.195     0.9993          0          0         0         0
m1069662                 7.227      1.004          0          0         0         0
l2935547                 7.227      1.004          0          0         0         0
m1026931                 7.317      1.016          0          0         0         0
l3216336                 7.317      1.016          0          0         0         0
l3142049                 7.099      0.986     0.1494      2.105    0.2926     4.122
m1108493                 7.094     0.9853     0.1513      2.133    0.2974     4.192
m1069169                 7.393      1.027    0.04754     0.6431   0.04861    0.6575
l3010556                 7.388      1.026    0.04837     0.6547   0.05108    0.6915
l2991933                 7.364      1.023          0          0         0         0
l3122837                 7.363      1.023          0          0         0         0
l2691936                 7.316      1.016          0          0         0         0
l2897772                 7.225      1.004          0          0         0         0
l3101814                 7.225      1.004          0          0         0         0
l2766732                 7.181     0.9974          0          0         0         0
l2989564                 7.227      1.004          0          0         0         0
m1126016                 6.764     0.9396          0          0         0         0
l3120534                 6.764     0.9395          0          0         0         0
m1026330                 7.216      1.002    0.09683      1.342    0.1463     2.028
l2766726                 7.068     0.9817          0          0         0         0
p901912                  7.394      1.027          0          0         0         0
l3195365                 7.394      1.027          0          0         0         0
m1108381                 7.119     0.9888     0.1392      1.955     0.262      3.68
l3254237                 7.118     0.9887     0.1392      1.955    0.2622     3.683
l2804262                 7.336      1.019          0          0         0         0
l2841639                 7.334      1.019          0          0         0         0
n1230123                 7.055     0.9799          0          0         0         0
l2708744                 7.053     0.9796          0          0         0         0
m1069519                 7.346       1.02     0.1669      2.272    0.2654     3.613
p901927                  7.315      1.016          0          0         0         0
l2897790                 7.517      1.044          0          0         0         0
l2935566                 7.517      1.044          0          0         0         0
l3216337                 7.317      1.016          0          0         0         0
p901931                  7.517      1.044          0          0         0         0
m1069548                 7.517      1.044          0          0         0         0
m1010013                 7.145     0.9925          0          0         0         0
l3120503                 7.145     0.9924          0          0         0         0
m1089145                 7.119     0.9889    0.08809      1.237    0.1154     1.621
l3215385                 7.119     0.9889    0.08809      1.237    0.1154     1.621
m1026852                 7.364      1.023     0.2253       3.06    0.2595     3.524
m1069420                 7.292      1.013     0.2391      3.279    0.1908     2.616
l3157708                 7.376      1.025          0          0         0         0
n1137991                 7.376      1.025          0          0         0         0
m1108413                  6.87     0.9542          0          0         0         0
m1108460                 6.868     0.9539          0          0         0         0
p827532                  7.254      1.008          0          0         0         0
m1047326                 7.254      1.008          0          0         0         0
e182732                  7.323      1.017     0.2048      2.796    0.2531     3.456
m1026760                 7.323      1.017     0.2046      2.794    0.2533     3.459
l3048205                 7.326      1.018          0          0         0         0
m1108361                 7.313      1.016          0          0         0         0
m3036169                 7.199          1          0          0         0         0
l2673317                 7.199     0.9999          0          0         0         0
l3178981                 7.239      1.006          0          0         0         0
m1047368                 7.227      1.004          0          0         0         0
n1136354                 7.345       1.02     0.1679      2.286    0.2674     3.641
l2879794                 7.164     0.9951          0          0         0         0
m1142811                 7.164      0.995          0          0         0         0
m1069565                 7.274       1.01          0          0         0         0
l2785536                 7.274       1.01          0          0         0         0
l3104114                 7.271       1.01          0          0         0         0
m1009824                 7.268       1.01          0          0         0         0
l2745848                 7.324      1.017     0.2323      3.172    0.2025     2.765
l2673308                 7.322      1.017     0.2327      3.178    0.2019     2.757
l2991939                 7.319      1.017     0.2334       3.19    0.2007     2.742
l2916606                 7.346       1.02          0          0         0         0
l2822864                 7.346       1.02          0          0         0         0
m1142851                 7.279      1.011    0.08526      1.171     0.131     1.799
196-31070                7.278      1.011     0.0856      1.176    0.1318     1.811
m1209822                 7.451      1.035          0          0         0         0
m1209823                 7.448      1.035          0          0         0         0
m1069550                 7.278      1.011          0          0         0         0
m1069551                 7.278      1.011          0          0         0         0
l3141397                 7.168     0.9957          0          0         0         0
l3649299                 7.368      1.023          0          0         0         0
m3772794                 7.368      1.023          0          0         0         0
p895106                  7.103     0.9866          0          0         0         0
l3048887                 7.103     0.9865          0          0         0         0
m1047824                 7.143     0.9921          0          0         0         0
m1047834                 7.138     0.9915          0          0         0         0
m1069350                 7.273       1.01     0.2421      3.328    0.1777     2.443
n1144668                 7.273       1.01      0.242      3.328    0.1771     2.436
l2879072                 7.182     0.9975          0          0         0         0
m1047441                 7.167     0.9955          0          0         0         0
m1108274                 7.419      1.031          0          0         0         0
m1108269                 7.419      1.031          0          0         0         0
l3235244                 7.327      1.018          0          0         0         0
m1069398                 7.327      1.018          0          0         0         0
n1147862                 7.267      1.009          0          0         0         0
l2685805                 7.266      1.009          0          0         0         0
m1069247                 7.336      1.019          0          0         0         0
m1069248                 7.336      1.019          0          0         0         0
l2786273                 7.419       1.03          0          0         0         0
m1108278                 7.418       1.03          0          0         0         0
l3254238                  7.26      1.008    0.07603      1.047    0.1134     1.562
m1047303                 7.255      1.008    0.07734      1.066    0.1154      1.59
m1047633                 7.414       1.03          0          0         0         0
l2897554                 7.413       1.03          0          0         0         0
m1069627                 7.225      1.004          0          0         0         0
l2897791                 7.224      1.003          0          0         0         0
m1089097                 7.423      1.031          0          0         0         0
m1108270                 7.422      1.031          0          0         0         0
n1142101                 6.817     0.9469          0          0         0         0
l2936214                 6.817     0.9469          0          0         0         0
l3066810                 7.301      1.014          0          0         0         0
l2897769                   7.3      1.014          0          0         0         0
m1209758                 7.377      1.025          0          0         0         0
m1209753                 7.376      1.025          0          0         0         0
m1047528                 7.436      1.033     0.2334      3.138    0.2251     3.028
l2858166                 7.436      1.033     0.2334      3.139    0.2252     3.029
m1142843                 7.289      1.012    0.08189      1.123    0.1228     1.685
l3081380                 7.287      1.012    0.08161       1.12    0.1213     1.664
l2804272                 7.278      1.011          0          0         0         0
l2841641                 7.278      1.011          0          0         0         0
m1069393                 7.206      1.001          0          0         0         0
m1069408                 7.201          1          0          0         0         0
n1142104                 7.087     0.9843     0.1541      2.175    0.3043     4.294
m1108500                 7.084     0.9839     0.1552      2.191    0.3069     4.332
l3216348                 7.167     0.9955          0          0         0         0
l2841627                 7.166     0.9953          0          0         0         0
l2916599                 7.322      1.017          0          0         0         0
m1047447                 7.152     0.9934          0          0         0         0
l2954349                 7.152     0.9933          0          0         0         0
l3235246                 7.142     0.9921          0          0         0         0
m1125911                 7.185     0.9979          0          0         0         0
l2711224                 7.183     0.9978          0          0         0         0
n1147863                 7.374      1.024          0          0         0         0
l3122817                 7.374      1.024          0          0         0         0
m1186061                 7.414       1.03    0.04897     0.6604   0.05786    0.7804
l2861223                 7.378      1.025          0          0         0         0
m1069130                 7.303      1.014          0          0         0         0
l3085396                 7.303      1.014          0          0         0         0
e182730                  7.297      1.014          0          0         0         0
n1142109                 7.297      1.014          0          0         0         0
m1069417                 7.283      1.012     0.2411      3.311    0.1877     2.577
n1138597                 7.282      1.011     0.2413      3.313    0.1874     2.574
m1026987                 7.162     0.9947          0          0         0         0
m1026990                  7.16     0.9945          0          0         0         0
m1142832                 7.282      1.011    0.08102      1.113    0.1182     1.624
l3160865                 7.281      1.011     0.0809      1.111    0.1176     1.615
l2673323                 7.363      1.023          0          0         0         0
m1009809                 7.363      1.023          0          0         0         0
l2822869                 7.364      1.023     0.2209          3    0.2329     3.163
m1026808                 7.358      1.022     0.2188      2.973    0.2353     3.198
m1047825                 7.128     0.9901          0          0         0         0
m1069731                 7.126     0.9899          0          0         0         0
n1140520                 7.343       1.02          0          0         0         0
l2729410                 7.343       1.02          0          0         0         0
l3178978                  7.19     0.9986          0          0         0         0
m1069384                 7.329      1.018          0          0         0         0
l3066805                 7.329      1.018          0          0         0         0
m4362181                 7.133     0.9908          0          0         0         0
m1047319                   7.4      1.028          0          0         0         0
m1047318                 7.399      1.028          0          0         0         0
l3216358                  7.31      1.015          0          0         0         0
m1026826                 7.308      1.015          0          0         0         0
m1108276                 7.419       1.03          0          0         0         0
m1089198                   7.4      1.028     0.1556      2.102     0.213     2.879
m1089201                 7.391      1.027      0.157      2.124    0.2209     2.989
m1047763                 7.327      1.018     0.2673      3.648     0.235     3.208
n1136027                 7.349      1.021          0          0         0         0
l3101827                 7.497      1.041          0          0         0         0
m1108540                 7.494      1.041          0          0         0         0
m1026335                 7.168     0.9956          0          0         0         0
l2804259                 7.168     0.9956          0          0         0         0
n1136357                 7.517      1.044          0          0         0         0
m1047513                 7.389      1.026     0.2276       3.08    0.2259     3.057
m1047507                 7.378      1.025     0.2263      3.067    0.2266     3.071
m1142863                 7.267      1.009    0.08891      1.223    0.1399     1.924
n1141480                 7.462      1.037          0          0         0         0
m1125916                 7.186     0.9981          0          0         0         0
l2879767                 7.186     0.9981          0          0         0         0
l3066809                 7.309      1.015          0          0         0         0
m1069487                 7.307      1.015          0          0         0         0
m1142818                 7.272       1.01    0.08017      1.102    0.1138     1.564
p829965                  7.272       1.01    0.08036      1.105    0.1142      1.57
q14733                    7.52      1.044     0.2392       3.18    0.2102     2.795
m1047568                 7.518      1.044      0.239      3.179    0.2105     2.801
m1047322                 7.254      1.008          0          0         0         0
l2954338                 7.267      1.009          0          0         0         0
m1047409                 7.169     0.9958          0          0         0         0
l2841648                 7.169     0.9957          0          0         0         0
m1089177                 7.261      1.009          0          0         0         0
m1026951                 7.324      1.017          0          0         0         0
l2954347                 7.324      1.017          0          0         0         0
m4122657                 7.387      1.026          0          0         0         0
l3027124                 7.386      1.026          0          0         0         0
m1069419                 7.286      1.012     0.2404      3.299    0.1888     2.591
m1069418                 7.285      1.012     0.2406      3.303    0.1884     2.586
m1026824                 7.297      1.014     0.2305      3.159    0.2683     3.677
p859694                  7.365      1.023          0          0         0         0
m1047453                 7.138     0.9914          0          0         0         0
l2691948                 7.137     0.9914          0          0         0         0
p860892                  7.422      1.031          0          0         0         0
n1139543                 7.422      1.031          0          0         0         0
m1089205                 7.305      1.015          0          0         0         0
n1134472                 7.305      1.015          0          0         0         0
l2710542                 7.296      1.013          0          0         0         0
m3032980                 7.417       1.03    0.04901     0.6608   0.05754    0.7757
m3032977                 7.394      1.027    0.05505     0.7446   0.06918    0.9356
m3763618                   7.4      1.028       0.23      3.108    0.2378     3.213
p1121282                 7.407      1.029          0          0         0         0
l2917330                 7.163      0.995          0          0         0         0
l2861222                 7.163     0.9949          0          0         0         0
m1047490                 7.358      1.022     0.2268      3.083    0.2223     3.022
p1164481                 7.365      1.023          0          0         0         0
m1069356                 7.272       1.01          0          0         0         0
m1069363                 7.272       1.01          0          0         0         0
p828359                  7.416       1.03          0          0         0         0
l2878848                 7.415       1.03          0          0         0         0
m1047486                  7.34      1.019     0.2295      3.127    0.2119     2.887
l3177665                  7.36      1.022          0          0         0         0
l2805036                 7.418       1.03          0          0         0         0
l2692654                 7.168     0.9956          0          0         0         0
m1125929                 7.168     0.9956          0          0         0         0
m1047669                 7.386      1.026     0.2411      3.264    0.2262     3.063
m1047672                 7.385      1.026     0.2411      3.265    0.2262     3.063
m1125919                 7.265      1.009    0.07904      1.088    0.1091     1.502
p829961                  7.168     0.9957          0          0         0         0
m1142819                 7.274       1.01     0.0803      1.104    0.1145     1.574
p829960                  7.206      1.001          0          0         0         0
p829979                   7.38      1.025          0          0         0         0
m3036172                  7.38      1.025          0          0         0         0
m1026883                 7.404      1.028          0          0         0         0
m1026898                 7.404      1.028          0          0         0         0
m1089143                  7.12     0.9889    0.08807      1.237    0.1154      1.62
l3141400                 7.031     0.9765          0          0         0         0
m1069481                 7.325      1.017     0.2322       3.17    0.2028     2.769
p827507                  7.316      1.016          0          0         0         0
m1026377                 7.157     0.9941          0          0         0         0
l3048210                 7.156      0.994          0          0         0         0
e182722                  7.332      1.018          0          0         0         0
m1026331                 7.217      1.002    0.09566      1.325    0.1449     2.007
l3214055                 7.414       1.03          0          0         0         0
m1108295                 7.226      1.004    0.07966      1.102    0.1058     1.464
l2936279                 7.214      1.002    0.08055      1.117    0.1067      1.48
m1026704                 7.123     0.9893          0          0         0         0
l2841634                 7.122     0.9892          0          0         0         0
m1047386                 7.205      1.001          0          0         0         0
m1047379                 7.204      1.001          0          0         0         0
m1089115                 7.433      1.032    0.04806     0.6466   0.03412     0.459
m1026486                  7.18     0.9973          0          0         0         0
m1026488                  7.18     0.9973          0          0         0         0
l3010570                 7.168     0.9956          0          0         0         0
p904451                  6.873     0.9547          0          0         0         0
221-282819               6.873     0.9547          0          0         0         0
m1125968                  7.17     0.9959     0.1222      1.704    0.2249     3.136
p895107                  7.456      1.036          0          0         0         0
n1136999                 7.396      1.027          0          0         0         0
m1069412                 7.195     0.9993          0          0         0         0
l2879061                 7.195     0.9993          0          0         0         0
m1026947                 7.324      1.017          0          0         0         0
m1142880                 7.367      1.023          0          0         0         0
l2891575                 7.367      1.023          0          0         0         0
m1026848                 7.294      1.013          0          0         0         0
m1026847                 7.294      1.013          0          0         0         0
l2897793                 7.175     0.9967          0          0         0         0
m1069521                 7.175     0.9966          0          0         0         0
m1069175                 7.406      1.029    0.04752     0.6416   0.04201    0.5672
l3197637                  7.43      1.032          0          0         0         0
l3197635                 7.167     0.9955          0          0         0         0
l2804257                 7.308      1.015          0          0         0         0
l2860485                 7.308      1.015          0          0         0         0
l3235945                 7.493      1.041          0          0         0         0
l2842330                 7.492      1.041          0          0         0         0
l2804254                 7.344       1.02          0          0         0         0
m1047752                 7.344       1.02          0          0         0         0
m1166370                 7.489       1.04          0          0         0         0
m1166364                 7.489       1.04          0          0         0         0
m3763619                 7.401      1.028       0.23      3.108    0.2379     3.215
m3037540                 7.305      1.015          0          0         0         0
l2710509                 7.305      1.015          0          0         0         0
l2763072                 7.032     0.9767          0          0         0         0
m4118754                 7.028     0.9762          0          0         0         0
m1089196                 7.405      1.029     0.1547       2.09    0.2083     2.812
m1047484                 7.336      1.019     0.2301      3.137    0.2096     2.857
l3010560                 7.334      1.019     0.2305      3.142    0.2082     2.839
l3254219                 7.423      1.031          0          0         0         0
l3254220                 7.423      1.031          0          0         0         0
m1026648                 7.205      1.001          0          0         0         0
m1026647                 7.203          1          0          0         0         0
m1089112                 7.423      1.031    0.04819     0.6493   0.03388    0.4564
l2691951                 7.428      1.032          0          0         0         0
